Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Afghanistan,AFG,32567375969.9946,29495629513.1972,37931379899.2707,41281584746.4411,41865355064.2988,46566715049.4503,49061481753.757,55844878995.5875,58036781460.4599,70451155676.9393,80569661676.7348,80913174277.9269,91231454557.6403,96341095375.7699,98965950294.897,100402257640.593,102671664129.973,105389386367.805,106642706595.941,110814146350.335,108208794210.783,85767546197.7544,80415503801.351
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Albania,ALB,20390600616.3343,22081656872.8284,23083396571.8713,24359593882.9194,25702944590.0256,27123398352.0301,28724400075.7045,30443055477.3821,32726297250.805,33824031954.0971,35077867899.3353,35970742104.2049,36480534856.7502,36846076214.96,37499890991.586,38331910963.6793,39602606407.8726,41108534612.3004,42760828696.4346,43642799668.9623,42196601169.2763,45981447840.6749,48200829010.3671
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Algeria,DZA,357194008652.805,367909828909.169,387776959670.264,412982462048.832,431566672841.029,454871273174.444,468062540096.504,482572478839.495,494636790810.483,500572432300.208,524599909050.618,540337906322.136,553306016073.868,567691972491.788,590967343363.952,609878298351.598,633663551987.31,643168505267.12,652172864340.86,658042420119.927,625140299113.931,648895630480.26,672255873177.55
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Andorra,AND,3600138634.67129,3892446768.89736,4069411497.98481,4423214423.66702,4783072832.92882,5041253346.26448,5283671526.22279,5365736885.77917,5067445572.25505,4798726709.88385,4703953872.84549,4703574275.36736,4469597620.27972,4311034330.8461,4419002699.26687,4482377402.04324,4648659173.53205,4664746876.17637,4738858764.76253,4834372720.68675,4293699379.34509,4649508748.84024,5094216232.49801
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Angola,AGO,97217622732.544,101306594541.042,115150838445.243,118593848514.756,131579874934.174,151356330124.348,168837986250.5,192492188138.725,213993565542.684,215833910210.958,225327096983.953,233150573548.039,253066545188.451,265605013213.782,278413972399.103,281041007465.416,273790009952.672,273386955626.621,269788194480.114,267893544947.44,252789131669.92,255820605533.992,263609643364.336
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Antigua and Barbuda,ATG,1914205652.77053,1827146277.21666,1845915180.31838,1958089526.02396,2071007368.51491,2205082670.70943,2485304852.8264,2716819214.04308,2716438684.1923,2391472045.92859,2203970352.68407,2160800704.68903,2233680952.57216,2220262884.603,2269362943.96486,2302158762.797,2396541874.4021,2455576690.02212,2626317506.91597,2707745040.67825,2196511967.60871,2376444043.97534,2602595861.44867
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Argentina,ARG,829178972033.759,792621800475.08,706269738674.223,768683083609.037,838091886093.454,912276929668.686,985689236302.599,1074476681421.66,1118070705029.3,1051897409980.83,1158406210935.09,1227956360246.09,1215352364993.03,1244585524448.65,1213313877880.72,1246451419104.46,1220521143173.66,1254921567938.2,1222075295207.81,1197623267200.44,1079052757506.56,1191725417699.43,1254527913254.77
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Armenia,ARM,14781654475.3627,16200693304.8905,18339184820.8016,20906670695.9981,23101871118.8312,26313031204.1439,29786351322.9505,33867081454.6554,36203910075.1721,31099158754.3195,31783340246.9814,33277157238.1681,35673112559.6373,36850325274.1053,38176936984.1905,39398598967.2899,39477396165.156,42438200878.1907,44644987323.7094,48038006359.6591,44579269902.145,47164867556.762,53107640868.8087
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Aruba,ABW,3555110646.86675,3703785432.08401,3668786382.70893,3709528424.23265,3980091340.21122,3964842110.90432,4009542195.39676,4133418781.15287,4209298230.20474,3717747269.41532,3616124254.15126,3737960057.14955,3699055373.19706,3936959476.04352,3874496655.79669,3850334291.06464,3916545601.34322,4192604625.63319,4293104933.80396,4197263925.2077,3097084627.34777,3844492519.39592,4171963243.75766
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Australia,AUS,843871589266.96,860960879525.666,895223555403.471,922892784017.514,961878403738.573,992217660045.097,1019556690699.95,1058027844686.84,1095971547626.56,1116713420928.22,1141504238493.51,1168981160805.48,1214766756101.85,1246377336386.09,1278724369422,1306730597825.85,1342788338639.1,1373398431473.95,1412931289385.81,1443613728964.52,1441887300683.51,1472327966101.1,1534789795033.07
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Austria,AUT,433558285667.351,439268194567.198,445788555376.4,450877521564.443,462443680147.645,473174062680.29,488643713155.837,507091110900.469,514460694399.747,496010771713.079,504983520612.76,519766751118.867,523032165874.635,521720785391.052,525663946270.995,532516097228.437,543790632789.992,556146916098.148,569962833838.475,579965547379.455,543321843521.102,569375914020.088,599426972430.888
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Azerbaijan,AZE,44841241661.8096,49280524525.944,53932071972.9041,59437619352.7793,64937858840.7126,83095482987.1161,111763424617.671,139704280606.197,154735033506.153,169119765061.013,177658528160.298,177836186933.316,181686766253.349,192242405530.178,197530045996.288,199690977126.894,193500557074.845,193887558070.879,196795871441.943,201715768360.705,193041990114.825,203884098954.124,213496831273.905
